game_id,campeon,frases,resultado
1297594746#participant4,Varus,"Ingankeable, Buen farmeador, Buena visión, Torretas ignoradas",0
1297594746#participant5,Lulu,"Ingankeable, Sobreviviente, Buena visión, Jugador seguro",0
1297594746#participant6,Malzahar,"Buen uso del barón, Mucho daño con Malzahar, Ingankeable, Buena visión, Mal duelista, Jugador pasivo",1
1297594746#participant7,Amumu,"Buen uso del barón, Destructor de torretas, KDA alto, Sobreviviente, Hace split push, Malos ganks",1
1297594746#participant8,Warwick,"Jugador agresivo, Buen uso del barón, Mucho daño con Warwick, Buen duelista, KDA alto, Alta participación en muertes, Buena visión, Jugador seguro",1
1297594746#participant9,Kai'Sa,"Buen uso del barón, Destructor de torretas, Buen farmeador, KDA alto, Buena visión, Jugador seguro",1
1297594746#participant10,Nautilus,"Buen uso del barón, Destructor de torretas",1
1297584774#participant1,Darius,"Buen farmeador, Buena visión, Jugador seguro, Hace split push, Jugador pasivo",1
1297584774#participant2,Lillia,"Jungla agresivo, Buen farmeador, KDA alto, Alta participación en muertes, Invencible, Buena visión, Torretas ignoradas",1
1297584774#participant3,Neeko,"Jugador agresivo, Buen farmeador, KDA alto, Alta participación en muertes, Rotación excelente, Buena visión",1
1297584774#participant4,Ashe,"Jugador agresivo, Ingankeable, Buen farmeador, KDA alto, Alta participación en muertes, Sobreviviente, Sin centinelas de control",1
1297584774#participant5,Lulu,KDA alto,1
1297584774#participant6,Shen,"Poco daño con Shen, Torretas ignoradas, Jugador pasivo, Mala visión",0
1297584774#participant7,Lee Sin,"Destructor de torretas temprano, Alta participación en muertes, Buena visión, Malos ganks, Poco daño con Lee Sin",0
1297584774#participant8,Irelia,"Destructor de torretas temprano, Buen farmeador, Alta participación en muertes, Buena visión",0
1297584774#participant9,Vayne,"Buen farmeador, Buena visión, Poco daño con Vayne, Muere en ganks, Baja participación en muertes",0
1297584774#participant10,Seraphine,Torretas ignoradas,0
1297593912#participant1,Dr. Mundo,"Buen farmeador, Buena visión, Poco daño con Dr. Mundo, Mal duelista, Baja participación en muertes, Jugador pasivo, Carril vulnerable",0
1297593912#participant2,Shaco,"Buena visión, Malos ganks, Dejó de farmear, Mal duelista, Sin centinelas de control, Baja participación en muertes, Nivel 6 tardío, Jungla pasivo",0
1297593912#participant3,Fizz,"Poco daño con Fizz, Torretas ignoradas, Malo para farmear, Sin centinelas de control, Jugador pasivo",0
1297593912#participant4,Kog'Maw,"Mucho daño con Kog'Maw, Buen farmeador, Alta participación en muertes, Buena visión",0
1297593912#participant5,Lulu,"KDA alto, Alta participación en muertes, Rotación excelente, Buena visión",0
1297593912#participant6,Darius,"Jugador agresivo, Mucho daño con Darius, Destructor de torretas, Ingankeable, Buen duelista, Destructor de torretas temprano, Buen farmeador, KDA alto, Sobreviviente, Jugador seguro, Lentos para finalizar",1
1297593912#participant7,Zed,"Jungla agresivo, Selección extraña, Malos ganks, Lentos para finalizar",1
1297593912#participant8,Akshan,"Jugador agresivo, Mucho daño con Akshan, Destructor de torretas, Ingankeable, Destructor de torretas temprano, KDA alto, Alta participación en muertes, Rotación excelente, Hace split push, Lentos para finalizar",1
1297593912#participant9,Jinx,"Destructor de torretas, Ingankeable, Jugador seguro, Hace split push, Lentos para finalizar, Baja participación en muertes",1
1297593912#participant10,Nami,"Ingankeable, Buena visión, Jugador seguro, Lentos para finalizar, Baja participación en muertes",1
1297782981#participant1,Mordekaiser,"Jugador agresivo, Buen farmeador, Poco daño con Mordekaiser, Torretas ignoradas, Carril vulnerable",0
1297782981#participant2,Warwick,"Jungla agresivo, Buen farmeador, Alta participación en muertes, Malos ganks, Torretas ignoradas",0
1297782981#participant3,Yasuo,"Jugador agresivo, Buen farmeador, Rotación excelente, Poco daño con Yasuo, Torretas ignoradas, Baja participación en muertes",0
1297782981#participant4,Caitlyn,"Jugador agresivo, Poco daño con Caitlyn, Muere en ganks, Carril vulnerable",0
1297782981#participant5,Lux,Rotación excelente,0
1297782981#participant6,Jayce,"Jugador agresivo, Buen farmeador, KDA alto, Sobreviviente, Buena visión",1
1297782981#participant7,Rengar,"Jungla agresivo, Mucho daño con Rengar, Buen farmeador, KDA alto, Buena visión, Sin centinelas de control",1
1297782981#participant8,Ahri,"Destructor de torretas, Ingankeable, Buen farmeador, KDA alto, Sobreviviente, Hace split push",1
1297782981#participant9,Vayne,"Jugador agresivo, Destructor de torretas, Rotación excelente, Buena visión, Nivel 6 tardío, Carril vulnerable",1
1297782981#participant10,Seraphine,"KDA alto, Rotación excelente, Sobreviviente, Buena visión, Nivel 6 tardío",1
1297315486#participant1,Gnar,"Buena visión, Mal uso del barón, Muere en ganks, Jugador pasivo, Carril vulnerable",0
1297315486#participant2,Rammus,"Jungla agresivo, Alta participación en muertes, Buena visión, Mal uso del barón, Dejó de farmear",0
1297315486#participant3,Aurelion Sol,"Buen farmeador, Alta participación en muertes, Rotación excelente, Jugador seguro, Mal uso del barón, Torretas ignoradas",0
1297315486#participant4,Ashe,"Jugador agresivo, Alta participación en muertes, Buena visión, Mal uso del barón, Dejó de farmear",0
1297315486#participant5,Morgana,"Ingankeable, Alta participación en muertes, Sobreviviente, Buena visión, Jugador seguro, Mal uso del barón",0
1297315486#participant6,Ornn,"Jugador agresivo, Destructor de torretas, KDA alto, Sobreviviente, Buena visión, Jugador seguro, Dejó de farmear, Lentos para finalizar",1
1297315486#participant7,Twitch,"Jungla agresivo, Buen duelista, KDA alto, Selección extraña, Lentos para finalizar, Sin centinelas de control",1
1297315486#participant8,Katarina,"Ingankeable, KDA alto, Sobreviviente, Buena visión, Jugador seguro, Entra a torre y muere, Lentos para finalizar, Jugador pasivo",1
1297315486#participant9,Kai'Sa,"Destructor de torretas, Ingankeable, KDA alto, Sobreviviente, Buena visión, Jugador seguro, Dejó de farmear, Lentos para finalizar, Jugador pasivo",1
1297315486#participant10,Diana,"Selección extraña, Lentos para finalizar, Carril vulnerable",1
1297306709#participant1,Renekton,"Buena visión, Poco daño con Renekton, Torretas ignoradas, Baja participación en muertes, Jugador pasivo",0
1297306709#participant2,Warwick,"Malos ganks, Dejó de farmear, Malo para farmear, Jungla pasivo",0
1297306709#participant3,Ahri,"Mucho daño con Ahri, Buen farmeador, KDA alto, Alta participación en muertes, Rotación excelente, Buena visión, Torretas ignoradas, Jugador pasivo",0
1297306709#participant4,Ashe,"Jugador agresivo, Ingankeable, Malo para farmear, Carril vulnerable",0
1297306709#participant5,Maokai,Nivel 6 tardío,0
1297306709#participant6,Illaoi,"Buen uso del barón, Mucho daño con Illaoi, Ingankeable, Buen duelista, Buen farmeador, KDA alto, Sobreviviente, Buena visión, Jugador seguro, Ávaro, Lentos para finalizar",1
1297306709#participant7,Lee Sin,"Jungla agresivo, Buen uso del barón, Mucho daño con Lee Sin, KDA alto, Buena visión, Lentos para finalizar",1
1297306709#participant8,LeBlanc,"Jugador agresivo, Buen uso del barón, Destructor de torretas, Buen duelista, KDA alto, Rotación excelente, Lentos para finalizar",1
1297306709#participant9,Kai'Sa,"Jugador agresivo, Buen uso del barón, Destructor de torretas, KDA alto, Buena visión, Hace split push, Lentos para finalizar",1
1297306709#participant10,Zyra,"Buen uso del barón, Buena visión, Lentos para finalizar",1
1297582740#participant1,Fiora,"Jugador agresivo, Ingankeable, Buen farmeador, Alta participación en muertes, Buena visión, Sin centinelas de control",0
1297582740#participant2,Kayn,"Malos ganks, Poco daño con Kayn, Baja participación en muertes, Jungla pasivo",0
1297582740#participant3,Syndra,"Buen farmeador, Rotación excelente, Buena visión, Poco daño con Syndra, Torretas ignoradas",0
1297582740#participant4,Ezreal,"Poco daño con Ezreal, Torretas ignoradas, Sin centinelas de control, Baja participación en muertes",0
1297582740#participant5,Yuumi,"Destructor de torretas, Buena visión",0
1297582740#participant6,Olaf,"Mucho daño con Olaf, Ingankeable, Buen farmeador, Alta participación en muertes, Pentakill, Buena visión, Ávaro, Mal duelista, Carril vulnerable",1
1297582740#participant7,Malphite,"Jungla agresivo, Destructor de torretas temprano, KDA alto, Invencible, Selección extraña, Sin centinelas de control",1
1297582740#participant8,Katarina,"Ingankeable, KDA alto, Rotación excelente, Jugador seguro, Poco daño con Katarina, Sin centinelas de control, Mala visión",1
1297582740#participant9,Jhin,"Jugador agresivo, Ingankeable, Destructor de torretas temprano, KDA alto, Alta participación en muertes, Rotación excelente, Ávaro, Sin centinelas de control",1
1297582740#participant10,Senna,"Destructor de torretas, Ingankeable, Destructor de torretas temprano, KDA alto, Alta participación en muertes, Rotación excelente, Sobreviviente",1
1297607974#participant1,Shaco,"Ingankeable, KDA alto, Jugador seguro, Selección extraña, Dejó de farmear, Entra a torre y muere, Sin centinelas de control, Jugador pasivo",1
1297607974#participant2,Udyr,"Mucho daño con Udyr, Destructor de torretas, Buen farmeador, KDA alto, Alta participación en muertes, Buena visión, Ávaro, Hace split push, Dejó de farmear",1
1297607974#participant3,Ahri,"Jugador agresivo, Mucho daño con Ahri, Buen duelista, KDA alto, Alta participación en muertes, Buena visión",1
1297607974#participant4,Twitch,"Destructor de torretas, Buena visión, Jugador seguro, Ávaro, Dejó de farmear",1
1297607974#participant5,Alistar,"Ingankeable, KDA alto, Alta participación en muertes, Rotación excelente, Buena visión, Nivel 6 tardío, Carril vulnerable",1
1297607974#participant6,Tryndamere,"Torretas ignoradas, Sin centinelas de control, Baja participación en muertes, Jugador pasivo",0
1297607974#participant7,Lee Sin,"Torretas ignoradas, Nivel 6 tardío, Jungla pasivo",0
1297607974#participant8,Kassadin,"Buena visión, Dejó de farmear, Carril vulnerable",0
1297607974#participant9,Miss Fortune,"Mucho daño con Miss Fortune, Dejó de farmear",0
1297607974#participant10,Lux,"Ingankeable, Buena visión",0
1297597323#participant1,Olaf,"Buen uso del barón, Hace split push, Dejó de farmear, Jugador pasivo",0
1297597323#participant2,Shaco,"Jungla agresivo, Buen uso del barón, Mucho daño con Shaco, Buen duelista, Buen farmeador, KDA alto, Alta participación en muertes, Sobreviviente, Buena visión, Hace split push, Dejó de farmear",0
1297597323#participant3,Vex,"Buen uso del barón, Mucho daño con Vex, Destructor de torretas, Buen farmeador, Ávaro, Dejó de farmear, Jugador pasivo",0
1297597323#participant4,Xayah,"Buen uso del barón, Mucho daño con Xayah, Ingankeable, Buena visión, Dejó de farmear",0
1297597323#participant5,Rakan,"Buen uso del barón, Ingankeable, Alta participación en muertes, Sobreviviente, Buena visión, Jugador seguro",0
1297597323#participant6,Renekton,"Buen uso del barón, Destructor de torretas, Ingankeable, Buena visión, Hace split push, Dejó de farmear, Sin centinelas de control",1
1297597323#participant7,Udyr,"Buen uso del barón, Buena visión, Dejó de farmear, Poco daño con Udyr, Malo para farmear, Sin centinelas de control",1
1297597323#participant8,Kassadin,"Buen uso del barón, Mucho daño con Kassadin, Destructor de torretas, Ingankeable, Buen farmeador, KDA alto, Alta participación en muertes, Sobreviviente, Buena visión, Jugador seguro, Dejó de farmear, Jugador pasivo",1
1297597323#participant9,Samira,"Buen uso del barón, Mucho daño con Samira, Buen farmeador, KDA alto, Alta participación en muertes, Ladrón épico, Dejó de farmear, Mal duelista, Sin centinelas de control, Jugador pasivo",1
1297597323#participant10,Milio,"Buen uso del barón, Destructor de torretas, KDA alto, Alta participación en muertes, Buena visión, Sin centinelas de control",1
1297891920#participant1,Teemo,"Mucho daño con Teemo, Dejó de farmear, Mal duelista, Malo para farmear, Derrota a pesar de ventaja, Sin centinelas de control, Jugador pasivo",0
1297891920#participant2,Jarvan IV,"Mucho daño con Jarvan IV, Destructor de torretas temprano, KDA alto, Alta participación en muertes, Ladrón épico, Derrota a pesar de ventaja, Jungla pasivo",0
1297891920#participant3,Vex,"Destructor de torretas temprano, Ladrón épico, Dejó de farmear, Torretas ignoradas, Muere en ganks, Malo para farmear, Derrota a pesar de ventaja, Jugador pasivo",0
1297891920#participant4,Miss Fortune,"Mucho daño con Miss Fortune, Destructor de torretas, Destructor de torretas temprano, Ladrón épico, Rotación excelente, Buena visión, Muere en ganks, Mal duelista, Derrota a pesar de ventaja, Jugador pasivo, Carril vulnerable",0
1297891920#participant5,Lux,"Torretas ignoradas, Derrota a pesar de ventaja, Sin centinelas de control",0
1297891920#participant6,Olaf,"Buen uso del barón, Mucho daño con Olaf, Buen duelista, Jugador seguro, Dejó de farmear, Lentos para finalizar, Sin centinelas de control, Jugador pasivo",1
1297891920#participant7,Nunu y Willump,"Jungla agresivo, Buen uso del barón, Mucho daño con Nunu y Willump, Ávaro, Dejó de farmear, Lentos para finalizar, Castigos malos",1
1297891920#participant8,Ekko,"Jugador agresivo, Buen uso del barón, Mucho daño con Ekko, Destructor de torretas, Rotación excelente, Jugador seguro, Dejó de farmear, Lentos para finalizar, Sin centinelas de control",1
1297891920#participant9,Jhin,"Jugador agresivo, Buen uso del barón, Mucho daño con Jhin, Destructor de torretas, KDA alto, Alta participación en muertes, Rotación excelente, Jugador seguro, Lentos para finalizar",1
1297891920#participant10,Yuumi,"Buen uso del barón, Ingankeable, KDA alto, Rotación excelente, Buena visión, Lentos para finalizar, Nivel 6 tardío",1
1297621429#participant1,Sion,"Buena visión, Poco daño con Sion, Muere en ganks, Jugador pasivo, Carril vulnerable",0
1297621429#participant2,Mordekaiser,"Selección extraña, Ávaro, Malos ganks, Dejó de farmear, Jungla pasivo",0
1297621429#participant3,Ahri,"Ingankeable, Buen farmeador, KDA alto, Alta participación en muertes, Sobreviviente, Buena visión, Jugador seguro, Hace split push, Jugador pasivo",0
1297621429#participant4,Aphelios,"Jugador agresivo, Buena visión, Dejó de farmear, Nivel 6 tardío, Carril vulnerable",0
1297621429#participant5,Swain,Buena visión,0
1297621429#participant6,Teemo,"Jugador agresivo, Buen uso del barón, Mucho daño con Teemo, Destructor de torretas, Ingankeable, Buen duelista, Destructor de torretas temprano, Buen farmeador, KDA alto, Sobreviviente, Buena visión, Jugador seguro, Hace split push, Lentos para finalizar",1
1297621429#participant7,Kha'Zix,"Jungla agresivo, Buen uso del barón, Mucho daño con Kha'Zix, Sobreviviente, Buena visión, Lentos para finalizar, Baja participación en muertes",1
1297621429#participant8,Diana,"Buen uso del barón, Buen farmeador, Torretas ignoradas, Lentos para finalizar, Jugador pasivo",1
1297621429#participant9,Xayah,"Jugador agresivo, Buen uso del barón, Mucho daño con Xayah, Buen farmeador, Buena visión, Lentos para finalizar, Carril vulnerable",1
1297621429#participant10,Morgana,"Buen uso del barón, Ingankeable, Buena visión, Lentos para finalizar",1
1297875860#participant1,Kled,"Ingankeable, Buena visión, Hace split push, Mal duelista",0
1297875860#participant2,Sylas,Jungla agresivo,0
1297875860#participant3,Neeko,"Destructor de torretas, Buen farmeador, Buena visión, Baja participación en muertes, Jugador pasivo",0
1297875860#participant4,Miss Fortune,"Jugador agresivo, Ingankeable, Buen farmeador, Poco daño con Miss Fortune, Mal duelista, Sin centinelas de control",0
1297875860#participant5,Cho'Gath,"Selección extraña, Carril vulnerable",0
1297875860#participant6,Ornn,"Jugador agresivo, Mucho daño con Ornn, Buen duelista, KDA alto, Sobreviviente, Sin centinelas de control",1
1297875860#participant7,Kha'Zix,"Malos ganks, Sin centinelas de control, Baja participación en muertes",1
1297875860#participant8,Veigar,"Jugador agresivo, Mucho daño con Veigar, Destructor de torretas, Buen farmeador, Ávaro, Hace split push, Dejó de farmear, Sin centinelas de control",1
1297875860#participant9,Caitlyn,"Jugador agresivo, Mucho daño con Caitlyn, Carril vulnerable",1
1297875860#participant10,Renata Glasc,,1
1297595775#participant1,Warwick,"Mucho daño con Warwick, Buen duelista, Buen farmeador, Alta participación en muertes, Mal uso del barón, Sin centinelas de control",0
1297595775#participant2,Fiddlesticks,"Jungla agresivo, Alta participación en muertes, Mal uso del barón, Dejó de farmear",0
1297595775#participant3,Qiyana,"Ingankeable, Buen farmeador, Buena visión, Mal uso del barón, Dejó de farmear, Jugador pasivo",0
1297595775#participant4,Zeri,"Mucho daño con Zeri, Ingankeable, Buen farmeador, Sobreviviente, Buena visión, Jugador seguro, Mal uso del barón, Torretas ignoradas, Sin centinelas de control",0
1297595775#participant5,Lulu,"Alta participación en muertes, Buena visión, Mal uso del barón, Carril vulnerable",0
1297595775#participant6,Urgot,"Jugador agresivo, Mucho daño con Urgot, Destructor de torretas, Buen duelista, KDA alto, Alta participación en muertes, Buena visión, Mal uso del barón, Dejó de farmear, Lentos para finalizar",1
1297595775#participant7,Viego,"Destructor de torretas, Buen farmeador, Buena visión, Hace split push, Malos ganks, Mal uso del barón, Lentos para finalizar",1
1297595775#participant8,Xerath,"Mucho daño con Xerath, Ingankeable, KDA alto, Sobreviviente, Jugador seguro, Mal uso del barón, Dejó de farmear, Lentos para finalizar, Sin centinelas de control",1
1297595775#participant9,Xayah,"Jugador agresivo, Destructor de torretas, Buen farmeador, KDA alto, Jugador seguro, Mal uso del barón, Dejó de farmear, Lentos para finalizar",1
1297595775#participant10,Leona,"Alta participación en muertes, Buena visión, Mal uso del barón, Lentos para finalizar",1
1297840564#participant1,Rumble,"Ingankeable, Buen farmeador, Poco daño con Rumble, Torretas ignoradas, Baja participación en muertes, Jugador pasivo, Mala visión",0
1297840564#participant2,Amumu,"Buen farmeador, Invencible, Poco daño con Amumu, Torretas ignoradas, Baja participación en muertes, Jungla pasivo, Heraldo de la Grieta ignorado",0
1297840564#participant3,Qiyana,"Ingankeable, Invencible, Jugador seguro, Poco daño con Qiyana, Torretas ignoradas, Malo para farmear, Sin centinelas de control, Baja participación en muertes, Jugador pasivo, Mala visión",0
1297840564#participant4,Kai'Sa,"Buen farmeador, Alta participación en muertes, Poco daño con Kai'Sa, Torretas ignoradas, Sin centinelas de control",0
1297840564#participant5,Morgana,"Ingankeable, Alta participación en muertes, Torretas ignoradas, Mala visión",0
1297840564#participant6,Gragas,"Ingankeable, Invencible, Jugador seguro, Poco daño con Gragas, Torretas ignoradas, Sin centinelas de control, Jugador pasivo, Mala visión",1
1297840564#participant7,Kha'Zix,"Invencible, Buena visión, Poco daño con Kha'Zix, Baja participación en muertes, Jungla pasivo, Heraldo de la Grieta ignorado",1
1297840564#participant8,Vladimir,"Ingankeable, Buen farmeador, Invencible, Jugador seguro, Poco daño con Vladimir, Sin centinelas de control, Baja participación en muertes, Jugador pasivo, Mala visión",1
1297840564#participant9,Samira,"Ingankeable, Alta participación en muertes, Poco daño con Samira, Torretas ignoradas, Mala visión",1
1297840564#participant10,Thresh,"Ingankeable, Alta participación en muertes, Torretas ignoradas, Mala visión",1
1297852196#participant1,Garen,"Buena visión, Sin centinelas de control, Jugador pasivo",0
1297852196#participant2,Zed,"Jungla agresivo, Selección extraña, Dejó de farmear, Sin centinelas de control",0
1297852196#participant3,Qiyana,"Buen farmeador, Buena visión, Torretas ignoradas, Jugador pasivo",0
1297852196#participant4,Ezreal,"Jugador agresivo, Ingankeable, Ladrón épico, Poco daño con Ezreal, Torretas ignoradas",0
1297852196#participant5,Senna,"Ingankeable, Alta participación en muertes, Torretas ignoradas, Sin centinelas de control",0
1297852196#participant6,Darius,"Buen uso del barón, Destructor de torretas, Destructor de torretas temprano, Buen farmeador, Buena visión, Jugador seguro, Lentos para finalizar",1
1297852196#participant7,Diana,"Jungla agresivo, Buen uso del barón, Lentos para finalizar, Sin centinelas de control",1
1297852196#participant8,Pantheon,"Buen uso del barón, Ingankeable, Buen farmeador, Sobreviviente, Buena visión, Jugador seguro, Hace split push, Lentos para finalizar, Baja participación en muertes, Jugador pasivo",1
1297852196#participant9,Jhin,"Jugador agresivo, Buen uso del barón, Mucho daño con Jhin, Buen farmeador, Buena visión, Dejó de farmear, Lentos para finalizar",1
1297852196#participant10,Nautilus,"Buen uso del barón, Destructor de torretas, KDA alto, Alta participación en muertes, Sobreviviente, Lentos para finalizar",1
1297864632#participant1,Sett,"Jugador agresivo, Ingankeable, Buen duelista, Destructor de torretas temprano, Buen farmeador, Hace split push, Poco daño con Sett",1
1297864632#participant2,Trundle,"Jungla agresivo, Destructor de torretas, Destructor de torretas temprano, Buen farmeador, KDA alto, Ladrón épico, Buena visión, Ávaro, Sin centinelas de control",1
1297864632#participant3,Malzahar,"Jugador agresivo, Ingankeable, Destructor de torretas temprano, Buen farmeador, KDA alto, Rotación excelente, Jugador seguro, Poco daño con Malzahar, Torretas ignoradas",1
1297864632#participant4,Kog'Maw,"Jugador agresivo, Ingankeable, Destructor de torretas temprano, Buen farmeador, KDA alto, Jugador seguro, Sin centinelas de control, Baja participación en muertes",1
1297864632#participant5,Lulu,"Destructor de torretas temprano, Rotación excelente",1
1297864632#participant6,Camille,"Jugador agresivo, Alta participación en muertes, Rotación excelente, Buena visión, Torretas ignoradas, Mal duelista, Carril vulnerable",0
1297864632#participant7,Kayn,"Buena visión, Malos ganks, Poco daño con Kayn, Baja participación en muertes, Castigos malos, Jungla pasivo",0
1297864632#participant8,Lucian,"Rotación excelente, Selección extraña, Torretas ignoradas, Sin centinelas de control, Jugador pasivo",0
1297864632#participant9,Twitch,"Poco daño con Twitch, Torretas ignoradas, Sin centinelas de control, Baja participación en muertes, Nivel 6 tardío, Jugador pasivo",0
1297864632#participant10,Nami,"Ingankeable, KDA alto, Alta participación en muertes, Rotación excelente, Torretas ignoradas, Nivel 6 tardío",0
1297848493#participant1,Swain,"Jugador agresivo, Destructor de torretas, Selección extraña, Hace split push",0
1297848493#participant2,Hecarim,"Malos ganks, Poco daño con Hecarim, Baja participación en muertes, Mala visión",0
1297848493#participant3,Katarina,"Jugador agresivo, Mucho daño con Katarina, Destructor de torretas, Ingankeable, Buen farmeador, Rotación excelente, Buena visión, Hace split push, Dejó de farmear",0
1297848493#participant4,Twitch,Buena visión,0
1297848493#participant5,Thresh,"Buena visión, Muere en ganks, Nivel 6 tardío",0
1297848493#participant6,Gangplank,"Buena visión, Jugador pasivo",1
1297848493#participant7,Jax,"Jungla agresivo, Destructor de torretas, KDA alto, Selección extraña",1
1297848493#participant8,Zilean,"Destructor de torretas, Ingankeable, KDA alto, Sobreviviente, Selección extraña, Jugador pasivo",1
1297848493#participant9,Vayne,"Jugador agresivo, Destructor de torretas, Rotación excelente, Buena visión, Hace split push",1
1297848493#participant10,Lulu,"Alta participación en muertes, Rotación excelente, Buena visión",1
1297693115#participant1,Akali,"Buena visión, Dejó de farmear, Torretas ignoradas, Derrota a pesar de ventaja",0
1297693115#participant2,Kayn,"Jungla agresivo, Mucho daño con Kayn, Destructor de torretas, Destructor de torretas temprano, KDA alto, Ávaro, Malos ganks, Derrota a pesar de ventaja",0
1297693115#participant3,Veigar,"Jugador agresivo, Buen farmeador, Rotación excelente, Jugador seguro, Muere en ganks, Derrota a pesar de ventaja",0
1297693115#participant4,Miss Fortune,"Jugador agresivo, Mucho daño con Miss Fortune, Ingankeable, Buen farmeador, Sobreviviente, Buena visión, Jugador seguro, Ávaro, Derrota a pesar de ventaja",0
1297693115#participant5,Nami,"Destructor de torretas, KDA alto, Buena visión, Jugador seguro, Derrota a pesar de ventaja",0
1297693115#participant6,Dr. Mundo,"Buen uso del barón, Mucho daño con Dr. Mundo, Destructor de torretas, Ingankeable, Buen farmeador, Buena visión, Hace split push, Jugador pasivo",1
1297693115#participant7,Kha'Zix,"Jungla agresivo, Buen uso del barón, Mucho daño con Kha'Zix, Alta participación en muertes, Buena visión, Malos ganks",1
1297693115#participant8,Katarina,"Buen uso del barón, Buen farmeador, Sobreviviente, Baja participación en muertes, Jugador pasivo",1
1297693115#participant9,Akali,"Buena visión, Dejó de farmear, Torretas ignoradas, Derrota a pesar de ventaja",1
1297693115#participant10,Lulu,"Buen uso del barón, Rotación excelente, Buena visión, Carril vulnerable",1
